Participant_ID,Aud_time1,1_1,1_2,1_3,fc_1,lc_1,cc_1,Pleasant_1,Natural_1,Human_1,Comp_1,Cred_1,Attention_Human,Aud_time2,2_1,2_2,2_3,fc_2,lc_2,cc_2,Pleasant_2,Natural_2,Human_2,Comp_2,Cred_2,Attention_AI,Aud_time3,3_1,3_2,3_3,fc_3,lc_3,cc_3,Pleasant_3,Natural_3,Human_3,Comp_3,Cred_3,Attention_TTS,Gender,Age,EngFL,EngProf,SC_Human,SC_AI,SC_TTS,Version
1,166.751,2,3,2,3.089,49.789,13,3,3,4,4,4,30,242.88,4,2,2,2.429,34.215,6,2,2,2,3,3,20,198.777,1,2,2,2.842,31.753,6,2,1,1,3,2,30,Woman,18-23,No,Professional Working Proficiency,2,3,1,A
2,162.68,1,2,2,7.446,75.209,3,3,5,5,5,5,71,227.397,4,2,2,15.719,46.625,3,3,2,3,4,4,62,418.985,4,2,4,8.622,41.854,3,2,1,1,2,2,81,Man,18-23,No,Native/Bilingual,2,3,3,A
3,186.039,1,3,2,3.704,28.384,3,3,3,5,4,4,80,242.001,4,2,2,18.872,43.199,3,2,2,2,3,3,50,202.569,4,2,4,5.053,28.887,3,1,1,1,3,1,60,Non-binary,18-23,Yes,Native/Bilingual,3,3,3,A
4,168.198,3,2,1,1.775,82.084,15,4,2,3,4,5,39,225.777,4,2,4,12.029,34.997,5,3,2,2,4,5,46,200.5,1,2,4,6.678,29.755,6,1,2,2,2,3,50,Woman,24-30,No,Professional Working Proficiency,0,2,2,A
5,167.628,1,3,2,3.036,16.54,9,4,4,5,5,5,85,257.145,4,2,2,1.227,22.827,15,1,1,2,1,2,26,200.55,4,2,4,1.581,30.613,29,1,1,2,3,2,35,Non-binary,18-23,No,Native/Bilingual,3,3,3,A
6,164.458,2,3,2,8.501,25.28,6,4,2,3,4,3,41,203.774,4,2,2,11.764,35.388,7,3,2,1,2,3,25,73.996,1,4,2,3.001,33.025,6,1,1,2,1,2,10,Woman,18-23,Yes,Native/Bilingual,2,3,0,A
7,219.469,4,1,1,21.47,82.743,14,3,3,4,4,4,40,191.699,4,2,4,8.179,32.853,7,2,1,2,2,2,20,218.691,3,4,3,7.604,26.256,5,1,1,1,2,1,10,Woman,18-23,No,Professional Working Proficiency,1,3,2,B
8,331.537,2,4,2,23.638,78.621,4,4,4,5,3,3,73,196.744,1,2,2,25.924,87.451,4,3,2,2,1,3,92,208.246,4,4,2,9.58,30.773,3,2,1,1,3,4,84,Woman,18-23,No,Professional Working Proficiency,1,1,2,B
9,221.287,4,2,1,6.113,24.732,3,4,4,5,4,3,51,192.579,1,2,4,4.916,28.619,3,1,1,1,1,2,26,207.718,2,4,2,12.413,49.61,3,1,1,1,1,1,16,Man,24-30,No,Native/Bilingual,2,2,2,B
10,218.075,4,2,1,5.028,19.181,6,3,5,5,4,3,60,189.901,1,2,2,3.261,17.515,6,2,1,2,2,1,62,206.1,1,4,2,9.877,29.402,5,2,2,2,1,1,50,Man,18-23,Yes,Native/Bilingual,2,1,2,B
11,233.285,2,2,2,2.635,27.23,8,5,5,5,5,5,90,370.4,4,4,2,3.319,18.278,3,4,4,4,4,4,60,374.049,2,4,2,7.014,17.575,3,3,2,3,4,3,40,Man,below 18,Yes,Native/Bilingual,2,1,2,B
12,187.901,3,2,4,9.532,71.221,8,4,2,3,2,2,65,186.421,3,2,4,3.894,29.756,8,2,2,1,3,3,70,120.075,1,2,1,4.808,46.415,7,1,1,1,2,1,70,Woman,18-23,No,Professional Working Proficiency,2,1,1,C
13,187.594,2,2,4,24.616,50.789,4,3,3,2,2,3,64,198.807,2,3,2,5.933,28.258,8,2,1,2,2,2,45,170.813,1,3,2,3.414,28.645,3,1,1,1,3,2,76,Man,18-23,Yes,Native/Bilingual,2,1,3,C
14,188.427,4,2,4,6.811,22.765,6,4,4,4,5,5,93,202.058,1,4,2,7.72,25.729,5,3,1,1,4,3,74,169.332,1,3,2,2.475,22.837,5,2,1,1,5,4,80,Man,18-23,Yes,Native/Bilingual,3,2,3,C
15,190.701,4,2,4,5.045,32.815,6,4,5,5,4,4,72,205.859,3,4,2,3.714,24.474,5,2,2,3,2,3,50,175.178,1,2,2,8.234,45.03,7,2,2,2,1,1,31,Woman,50+,No,Limited working Proficiency,3,3,2,C
16,190.753,4,2,2,12.902,52.41,6,3,4,4,5,4,69,206.2,2,4,1,4.202,23.501,4,2,1,1,3,2,59,175.061,1,3,4,4.201,28.201,4,2,1,1,3,2,53,Woman,18-23,No,Professional Working Proficiency,2,1,2,C
17,189.471,4,2,2,6.202,31.397,6,4,5,5,3,4,60,201.243,3,4,2,4.564,34.397,9,2,3,3,4,1,69,178.573,1,2,1,2.4,20.377,6,1,3,1,4,3,60,Non-binary,18-23,No,Professional Working Proficiency,2,3,1,C
18,194.745,1,2,2,12.744,22.634,3,3,5,5,4,2,10,168.198,1,2,2,2.248,18.497,4,2,1,1,4,4,70,215.824,4,2,2,6.801,18.842,3,2,1,1,2,4,51,Man,18-23,No,Native/Bilingual,1,2,3,D
19,197.941,2,4,2,6.376,28.889,7,3,4,4,5,4,78,,,,,,,,,,,,,,66.586,1,3,1,3.193,8.199,6,1,1,1,4,1,19,,,,,2,0,0,D
20,194.701,2,4,2,6.742,39.703,8,4,3,5,5,5,50,167.097,1,2,2,7,41.4,5,4,5,5,5,4,53,222.784,2,3,2,85.402,153.167,5,2,1,1,2,3,32,Woman,18-23,No,Professional Working Proficiency,2,2,1,D
21,196.162,2,4,2,7.097,19.375,7,3,5,5,3,2,64,170.1,1,3,2,3.301,19.4,6,3,2,1,4,4,60,222.084,2,2,2,12.686,31.267,9,1,1,1,2,2,45,Man,18-23,No,Professional Working Proficiency,2,3,2,D
22,194.701,1,4,1,4.167,37.844,10,1,3,3,2,3,50,175.629,1,3,2,3.7,19.7,6,3,2,1,4,3,70,221.4,4,2,4,9.127,45.118,13,4,3,2,5,3,85,Woman,18-23,Yes,Native/Bilingual,1,3,2,D
